,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,TripDistance
3883,D6EE78A5C7B74A9ED47F6E9BF7FF260D,2AF15F79FAC9CFC7CFA6FD420C0443C0,VTS,1,,1/13/13 10:29,1/13/13 10:35,3,360,1.5800000000000001,-73.974845999999999,40.792617999999997,-73.982346000000007,40.771908000000003,1.4842121144915357
3884,3256759BEA3AB85BD41DE023E4A6CEA2,F1581AFC93243ADA85741954C21BCA57,VTS,1,,1/13/13 10:29,1/13/13 10:33,5,240,1.1200000000000001,-73.972320999999994,40.793922000000002,-73.956160999999994,40.788193,0.9337158541182757
3885,EE05185A63CE5FBCEBA8C84E47BAB9AF,0CB5B94313CC03B64AFC2C431DD57A30,VTS,1,,1/13/13 10:18,1/13/13 10:34,6,960,5.3799999999999999,-73.994552999999996,40.689971999999997,-73.973845999999995,40.752868999999997,4.480404853427643
3886,53205E47AE996D5C1A9BB61B9EE699A1,E269AD1DAA16A17ED250D0BB4742D693,VTS,1,,1/13/13 10:31,1/13/13 10:38,1,420,0.11,-73.947013999999996,40.779933999999997,-73.959548999999996,40.774127999999997,0.7690482081437275
3887,8F6E5DD8FDCB4A4A893D6CA97DCC0F60,55038215C2908A76B1AFAFC5754666CE,VTS,1,,1/13/13 10:36,1/13/13 10:40,1,240,0.57999999999999996,-73.967644000000007,40.771545000000003,-73.961913999999993,40.767662000000001,0.40246995217680054
3888,DEE34BFAC4C25A68F31ABD6D59F8DEED,20CD0AB7FDEEF3D9D0A9117386FED087,VTS,1,,1/13/13 10:29,1/13/13 10:35,1,360,1.4399999999999999,-73.964973000000001,40.772717,-73.946776999999997,40.776454999999999,0.9867942133096079
3889,6A5147CF2A3C5EC2658708FD2114F70B,726CB8C909C1D49FABC2B10965984210,VTS,1,,1/13/13 10:27,1/13/13 10:33,2,360,1.0600000000000001,-73.991095999999999,40.755741,-73.994918999999996,40.745392000000002,0.7427518395844078
3890,25634EF33908C0FB2702C9DDC6368171,336130987D03F4FBB1A6398F8EA3601F,VTS,1,,1/13/13 10:28,1/13/13 10:35,1,420,2.25,-73.975639000000001,40.792133,-73.955314999999999,40.814616999999998,1.8829371474723018
3891,503547D2FE43B8E2D40F76FBB5992CF1,5E25617F63AF08AB417821C8620E3689,VTS,1,,1/13/13 10:24,1/13/13 10:34,5,600,2.8999999999999999,-73.965851000000001,40.754703999999997,-73.998458999999997,40.737186000000001,2.093144202547006
3892,CA93F8576A51663C409C3DC2CA836DE8,E52D074F3CEDEB2F3E0A04BF5B7F8287,VTS,1,,1/13/13 10:24,1/13/13 10:36,1,720,2.7999999999999998,-73.957549999999998,40.762774999999998,-73.986259000000004,40.749015999999997,1.778611136569083
3893,DAAB09C2D4354B3C33645931035E7B72,22AD67530075DE5FDF9231666C3C29F6,VTS,1,,1/13/13 10:34,1/13/13 10:35,1,60,0.56000000000000005,-73.962684999999993,40.775654000000003,-73.958549000000005,40.778587000000002,0.29656697135409626
3894,DF8FEB2A1245C464DD6265C0E64D2649,930FD74F083C1364AE51AFD882B5715C,VTS,1,,1/13/13 10:26,1/13/13 10:34,2,480,2.1200000000000001,-73.986098999999996,40.755001,-73.980682000000002,40.776428000000003,1.5078312731259595
3895,2934FE19ABCB3FDEC86B25AEAC73D034,92F71870DFBC709EEEC777496D92D65B,VTS,1,,1/13/13 10:16,1/13/13 10:30,1,840,5.21,-73.984543000000002,40.755474,-74.001991000000004,40.709266999999997,3.3217630950864008
3896,94E10E3A3763877CEA55466456D473A5,3D049230C732614B46AB1141D8880AD7,VTS,1,,1/13/13 10:28,1/13/13 10:34,1,360,2.0099999999999998,-74.003639000000007,40.720528000000002,-74.005691999999996,40.742130000000003,1.4968898263461503
3897,9CBFEBC9F973378E9476F14CAA459650,5941F413B5153570C53053C4E8FC1DAD,VTS,1,,1/13/13 10:29,1/13/13 10:37,1,480,1.6299999999999999,-73.977378999999999,40.631965999999998,-73.977378999999999,40.631965999999998,0.0
3898,9E4F30BBD586DBDB9F6F62188C36A90A,5C99B6719EEB1A0CE4AE25EFE1253C55,VTS,1,,1/13/13 10:19,1/13/13 10:32,5,780,4.1500000000000004,-73.991646000000003,40.755778999999997,-74.015388000000002,40.709342999999997,3.441881576798336
3899,59CD993D8ECB22E1C9BD01A628777293,EDCC159DA618F08CB23A40E92D7FABD0,VTS,1,,1/13/13 4:09,1/13/13 4:38,1,1740,22.469999999999999,-73.972815999999995,40.745021999999999,-73.907180999999994,40.597351000000003,10.770627746311906
3900,FF1D53D5629B4A3D94BA8A3F54124540,854CE80E158CC32C2966D72590B21424,VTS,1,,1/13/13 4:23,1/13/13 4:38,1,900,4.6100000000000003,-73.975364999999996,40.751671000000002,-73.916908000000006,40.769706999999997,3.3044114307652253
3901,C7C7A02A43EF93C55735C621C166327D,C3F24A234484B767AE12FF96BE16F2B6,VTS,1,,1/13/13 4:37,1/13/13 4:42,1,300,0.90000000000000002,-74.006866000000002,40.743614000000001,-73.998885999999999,40.738151999999999,0.5631495131325589
3902,59C232188382C25A5F0D4FC6FDD5999F,AB594DB847CC3C3A5DB427D5DC4930AC,VTS,1,,1/13/13 4:22,1/13/13 4:37,5,900,2.0899999999999999,-74.004043999999993,40.742640999999999,-73.992355000000003,40.721229999999998,1.6014532805731192
3903,5F817657D191B25C0CB54DE8745EEBB1,1794CB1FC31B4A6B34A9B2AD9B11DDB5,VTS,1,,1/13/13 4:39,1/13/13 4:41,1,120,0.56999999999999995,-73.984306000000004,40.745834000000002,-73.982185000000001,40.751358000000003,0.39761562022151825
